name,source
nov,BD
nrg-energy,BD
nucor-corporation,F500
nvidia,BD
nvr,F500
occidental-petroleum-corporation,F500
office-depot,F500
olay,BD
old-navy,BD
old-republic-international-corporation,F500
omnicom-group,F500
oneok,BD
optumhealth,BD
oracle,BD
oral-b,BD
oreilly-auto-parts,BD
oshkosh-corporation,F500
otis,BD
owens-minor,F500
owens-corning,F500
owensillinois,F500
oxy,BD
p-and-g,BD
paccar-inc,F500
pacific-life,F500
packaging-corporation-of-america,F500
pampers,BD
panasonic,IB
panera-bread,BD
pantene,BD
paramount,BD
parker-hannifin,BD
parliament,BD
patterson-companies,BD
paypal,BD
pbf-energy,F500
peabody-energy-corporation,F500
pedigree,BD
penske-automotive-group,F500
pepsi,BD
performance-food-group-company,F500
peter-kiewit-sons,F500
petsmart,BD
pfizer,BD
pge,BD
philadelphia-insurance-companies,BD
philip-morris,BD
phillips,IB
pitney-bowes-inc,BD
pizza-hut,BD
plains-gp-holdings,F500
pnc,BD
polaris-inds,BD
polo-ralph-lauren,BD
porsche,IB
ppg,BD
ppl-corporation,F500
prada,IB
pratt-and-whitney,BD
praxair,BD
precision-castparts-corp,F500
priceline.com,BD
principal-financial-group,F500
progressive,BD
prudential,BD
pseg,BD
public-service-enterprise-group-incorporated,F500
publix,BD
pultegroup,F500
purina,BD
pvh-corp,F500
quaker-foods-and-snacks,BD
qualcomm,BD
quanta-services-inc,BD
quest-diagnostic,BD
quintiles-transnational-holdings,F500
qvc,BD
rackspace,BD
ralph-lauren,IB
ramada,BD
raymond-james,BD
raytheon,BD
realogy-holdings-corp,F500
reeses,BD
regions,BD
reinsurance-group-of-america,F500
reliance-steel-aluminum-co,F500
republic-services,F500
reynolds-american,F500
rite-aid-corporation,F500
rockwell-automation,BD
ross-dress-for-less,BD
royal-caribbean-cruises,BD
rr-donnelley-and-sons-co,BD
ryder-system,F500
sabre,BD
safeway,BD
salesforce,BD
sams-club,BD
samsung,IB
sandisk,BD
sands-cotai-central,BD
sanmina-corporation,F500
santander,IB
sap,IB
schlumberger,BD
seaboard-corporation,F500
seagate,BD
sealed-air-corporation,F500
sears-holdings-corporation,F500
seiyu,BD
sempra-energy,F500
sheraton,BD
sherwin-williams,BD
siemens,IB
simon-property-group,BD
sirius,BD
skechers,BD
skoal,BD
smirnoff,IB
snap-on-inc,BD
sonic-automotive,F500
sony,IB
southern-company,BD
southwest,BD
sp-global,F500
spartannash-company,F500
spectra-energy-corp,F500
spectrum,BD
spirit-aerosystems-holdings,F500
sprint,BD
sprite,BD
st-jude-medical,BD
stanley-black--decker,F500
staples,BD
starbucks,BD
starwood-hotels--resorts-worldwide,F500
state-farm-insurance-cos,F500
state-street,BD
steel-dynamics,F500
stryker,BD
subway,BD
sun-america,BD
sundown,BD
sunoco,BD
suntrust,BD
supervalu,BD
symantec,BD
synnex-corporation,F500
sysco,BD
t.j.-maxx,BD
taco-bell,BD
targa-resources-corp,F500
target,BD
tata-consultancy-services,BD
teachers-insurance-and-annuity-association,F500
tech-data,BD
tech-mahindra,BD
telephone-and-data-systems,F500
tenet-healthcare-corp,BD
tenneco,F500
teradata,BD
terex-corporation,F500
tesla,IB
tesla-motors,BD
tesoro-corporation,F500
texas-instruments,BD
textron,F500
the-aes-corporation,F500
the-allstate-corporation,F500
the-bank-of-new-york-mellon,BD
the-boeing-company,F500
the-charles-schwab-corporation,F500
the-clorox-company,F500
the-cocacola-company,F500
the-dow-chemical-company,F500
the-estee-lauder-companies,F500
the-gap,F500
the-goldman-sachs-group,F500
the-goodyear-tire--rubber-company,F500
the-hartford,BD
the-hershey-company,F500
the-home-depot,BD
the-interpublic-group-of-companies,F500
the-jm-smucker-company,F500
the-jones-financial-companies,F500
the-kraft-heinz-company,F500
the-kroger-company,F500
the-mosaic-company,F500
the-north-face,BD
the-pnc-financial-services-group,F500
the-priceline-group,F500
the-procter--gamble-company,F500
the-progressive-corporation,F500
the-sherwinwilliams-company,F500
the-southern-company,F500
the-tjx-companies,F500
the-travelers-companies,F500
the-walt-disney-company,F500
the-western-union-company,F500
