name,rank,city,state,freq
HD Supply Holdings,320,Atlanta,Georgia,4
Crown Holdings,321,Philadelphia,Pennsylvania,22
EOG Resources,322,Houston,Texas,8
Veritiv Corp,323,Atlanta,Georgia,1
Anadarko Petroleum Corporation,324,The Woodlands,Texas,16
Laboratory Corporation of America Holdings,325,Burlington,North Carolina,7
Pacific Life,326,Newport Beach,California,20
News Corporation,327,New York,New York,2
Jarden Corporation,328,Boca Raton,Florida,9
SunTrust Banks,329,Atlanta,Georgia,22
Avis Budget Group,330,Parsippany,New Jersey,19
Broadcom Corporation,331,Irvine,California,8
American Family Insurance Group,332,Madison,Wisconsin,20
Level 3 Communications,333,Broomfield,Colorado,12
Tenneco,334,Lake Forest,Illinois,22
United Natural Foods,335,Providence,Rhode Island,4
Dean Foods Company,336,Dallas,Texas,18
Campbell Soup Company,337,Camden,New Jersey,22
Mohawk Industries,338,Calhoun,Georgia,17
BorgWarner,339,Auburn Hills,Michigan,10
PVH Corp.,340,New York,New York,6
Ball Corporation,341,Broomfield,Colorado,20
O'Reilly Automotive,342,Springfield,Missouri,7
Eversource Energy,343,Springfield,Massachusetts,21
Franklin Resources,344,San Mateo,California,11
Masco Corporation,345,Taylor,Michigan,22
Lithia Motors,346,Medford,Oregon,2
KKR & Co. L.P.,347,New York,New York,5
ONEOK,348,Tulsa,Oklahoma,14
Newmont Mining Corporation,349,Greenwood Village,Colorado,13
PPL Corporation,350,Allentown,Pennsylvania,22
SpartanNash Company,351,Byron Center,Michigan,6
Quanta Services,352,Houston,Texas,4
XPO Logistics,353,Greenwich,Connecticut,1
Ralph Lauren Corporation,354,New York,New York,8
The Interpublic Group of Companies,355,New York,New York,19
Steel Dynamics,356,Fort Wayne,Indiana,7
WESCO International,357,Pittsburgh,Pennsylvania,18
Quest Diagnostics Incorporated,358,Madison,New Jersey,16
Boston Scientific Corporation,359,Marlborough,Massachusetts,13
AGCO Corporation,360,Duluth,Georgia,15
Foot Locker,361,New York,New York,22
The Hershey Company,362,Hershey,Pennsylvania,22
CenterPoint Energy,363,Houston,Texas,22
The Williams Companies,364,Tulsa,Oklahoma,22
Dick's Sporting Goods,365,Coraopolis,Pennsylvania,7
Live Nation Entertainment,366,Beverly Hills,California,7
Mutual of Omaha Insurance Company,367,Omaha,Nebraska,20
W.R. Berkley Corporation,368,Greenwich,Connecticut,13
LKQ Corporation,369,Chicago,Illinois,3
Avon Products,370,New York,New York,22
Darden Restaurants,371,Orlando,Florida,20
Kindred Healthcare,372,Louisville,Kentucky,13
Weyerhaeuser Company,373,Federal Way,Washington,22
Casey's General Stores,374,Ankeny,Iowa,6
Sealed Air Corporation,375,Charlotte,North Carolina,19
Fifth Third Bancorp,376,Cincinnati,Ohio,17
Dover Corporation,377,Downers Grove,Illinois,22
Huntington Ingalls Industries,378,Newport News,Virginia,4
Netflix,379,Los Gatos,California,2
Dillard's,380,Little Rock,Arkansas,22
EMCOR Group,381,Norwalk,Connecticut,16
The Jones Financial Companies,382,Des Peres,Missouri,4
AK Steel Holding Corporation,383,West Chester,Ohio,6
UGI Corporation,384,King of Prussia,Pennsylvania,12
Expedia,385,Bellevue,Washington,2
salesforce.com,386,San Francisco,California,2
Targa Resources Corp.,387,Houston,Texas,8
Apache Corporation,388,Houston,Texas,13
Spirit AeroSystems Holdings,389,Wichita,Kansas,2
Expeditors International of Washington,390,Seattle,Washington,9
Anixter International,391,Glenview,Illinois,14
Fidelity National Information Services,392,Jacksonville,Florida,7
Asbury Automotive Group,393,Duluth,Georgia,10
Hess Corporation,394,New York,New York,22
Ryder System,395,Miami,Florida,22
Terex Corporation,396,Westport,Connecticut,13
Coca-Cola European Partners,397,Atlanta,Georgia,6
Auto-Owners Insurance Group,398,Lansing,Michigan,14
Cablevision Systems Corporation,399,Bethpage,New York,18
Symantec Corporation,400,Mountain View,California,9
The Charles Schwab Corporation,401,San Francisco,California,18
Calpine Corporation,402,Houston,Texas,15
CMS Energy Corporation,403,Jackson,Michigan,22
Alliance Data Systems Corporation,404,Plano,Texas,2
JetBlue Airways Corporation,405,Long Island City,New York,4
Discovery Communications,406,Silver Spring,Maryland,3
Trinity Industries,407,Dallas,Texas,2
Sanmina Corporation,408,San Jose,California,16
NCR Corporation,409,Duluth,Georgia,19
FMC Technologies,410,Houston,Texas,8
Erie Insurance Group,411,Erie,Pennsylvania,13
Rockwell Automation,412,Milwaukee,Wisconsin,22
Dr Pepper Snapple Group,413,Plano,Texas,8
iHeartMedia,414,San Antonio,Texas,16
Tractor Supply Company,415,Brentwood,Tennessee,3
J.B. Hunt Transport Services,416,Lowell,Arkansas,4
Commercial Metals Company,417,Irving,Texas,12
Owens-Illinois,418,Perrysburg,Ohio,22
Harman International Industries,419,Stamford,Connecticut,2
Baxalta Incorporated,420,Bannockburn,Illinois,1
American Financial Group,421,Cincinnati,Ohio,17
NetApp,422,Sunnyvale,California,5
Graybar Electric Company,423,St. Louis,Missouri,22
Oshkosh Corporation,424,Oshkosh,Wisconsin,9
Ameren Corporation,425,St. Louis,Missouri,19
A-Mark Precious Metals,426,Santa Monica,California,2
Barnes & Noble,427,New York,New York,19
Dana Holding Corporation,428,Maumee,Ohio,22
Constellation Brands,429,Victor,New York,4
