name,url
BD,http://brandirectory.com/images/profile/logo/bd.jpg
Heinz,http://brandirectory.com/images/profile/logo/heinz2.png
Pfizer,http://brandirectory.com/images/profile/logo/pfizerlogoo.png
Linkedin,http://brandirectory.com/images/profile/logo/linkedin.jpg
Exxon,http://brandirectory.com/images/profile/logo/exxon.jpg
Expedia.com,http://brandirectory.com/images/profile/logo/expedia2.png
Dish-Networks,http://brandirectory.com/images/profile/logo/dish.jpg
Kohls,http://brandirectory.com/images/profile/logo/kohls2.png
Schlumberger,http://brandirectory.com/images/profile/logo/schlumberger.jpg
priceline.com,http://brandirectory.com/images/profile/logo/daew_2.jpg
Travelers,http://brandirectory.com/images/profile/logo/travelers.jpg
General-Dynamics,http://brandirectory.com/images/profile/logo/daew_10.jpg
OptumHealth,http://brandirectory.com/images/profile/logo/optum.png
Pizza-Hut,http://brandirectory.com/images/profile/logo/pizza_hut.jpg
TIFFANY-CO,http://brandirectory.com/images/profile/logo/tiffany_bd.png
Estee-Lauder,http://brandirectory.com/images/profile/logo/estee.png
Twitter,http://brandirectory.com/images/profile/logo/twitter.jpg
Western-Digital,http://brandirectory.com/images/profile/logo/westerndigitallogo.png
Qualcomm,http://brandirectory.com/images/profile/logo/qualcomm.jpg
CAMEL,http://brandirectory.com/images/profile/logo/camel_1.jpg
Under-Armour,http://brandirectory.com/images/profile/logo/underarmour.png
Sysco,http://brandirectory.com/images/profile/logo/sysco.jpg
Gatorade,http://brandirectory.com/images/profile/logo/gatoradenew.png
Motorola,http://brandirectory.com/images/profile/logo/motorola.jpg
AutoZone,http://brandirectory.com/images/profile/logo/daew_18.jpg
Aflac,http://brandirectory.com/images/profile/logo/aflac.jpg
ACE,http://brandirectory.com/images/profile/logo/ace_group.jpg
Bank-of-America-Merrill-Lynch,http://brandirectory.com/images/profile/logo/merill_lynch4.png
Discover,http://brandirectory.com/images/profile/logo/discover1.png
Dollar-Tree,http://brandirectory.com/images/profile/logo/dollartree2.png
The-Bank-of-New-York-Mellon,http://brandirectory.com/images/profile/logo/bny_mellon2.png
Express-Scripts,http://brandirectory.com/images/profile/logo/express_scripts.jpg
Michael-Kors,http://brandirectory.com/images/profile/logo/michael_kors.jpg
Xerox,http://brandirectory.com/images/profile/logo/xerox.jpg
Activision-Blizzard,http://brandirectory.com/images/profile/logo/activisionbl.jpg
ABC,http://brandirectory.com/images/profile/logo/abctv.jpg
GMC,http://brandirectory.com/images/profile/logo/daew_11.jpg
John-Deere,http://brandirectory.com/images/profile/logo/john_deere.jpg
Sherwin-Williams,http://brandirectory.com/images/profile/logo/sherwin_williams_bd.png
Sprite,http://brandirectory.com/images/profile/logo/sprite2.png
Colgate,http://brandirectory.com/images/profile/logo/colgatedental.png
LM,http://brandirectory.com/images/profile/logo/lm.jpg
Safeway,http://brandirectory.com/images/profile/logo/safeway.jpg
Discovery-Media,http://brandirectory.com/images/profile/logo/discovery_1.jpg
Southern-Company,http://brandirectory.com/images/profile/logo/southern_company.jpg
Southwest,http://brandirectory.com/images/profile/logo/southwest_air.jpg
Otis,http://brandirectory.com/images/profile/logo/otis.jpg
VALERO,http://brandirectory.com/images/profile/logo/valero2.png
