"","form_sans","form_serif","form_callig","class_grotesque","class_geom","class_geom-square","class_humanist","class_transitional","class_oldstyle","class_clarendon","class_slab","class_glyphic","class_casual","class_didone","class_monotype","class_amp","family_helvetica","family_futura","family_eurostile","family_gillsans","family_bauhaus","family_kepler","family_times","family_bembo","family_clarendon","family_rockwell","family_comfortaa","family_centaur","family_copperplate-gothic","family_nadianne","family_bodoni","family_trajan","family_americana","family_monotype","ver_bold","ver_cb","ver_bi","ver_wide","ver_light","ver_orig","ver_wb","ver_co","ver_cbi","ver_italic","ver_wbi","ver_wi","ver_ci","ver_wl","ver_wli","ver_li","width_condensed","width_wide","width_orig","width_has_condensed","width_has_wide","width_has_orig","width_mixed","weight_bold","weight_light","weight_orig","weight_has_bold","weight_has_light","weight_has_orig","weight_mixed","style_italic","style_orig","style_has_italic","style_has_orig","style_mixed"
"avery-dennison-corporation",11,3,1,7,3,0,1,1,0,2,0,1,0,0,0,0,7,2,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,7,0,3,1,0,2,0,0,0,0,1,0,0,2,9,4,0,1,1,1,4,1,10,1,0,1,1,2,13,0,1,0
"avis-budget-group",9,6,0,2,1,4,2,1,1,1,0,0,0,3,0,0,2,1,4,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,1,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,1,0,4,3,8,1,0,1,1,0,15,0,1,0
"avnet",5,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1,0,1,1,5,0,0,1,0,0,0,3,2,1,1,1
"avon",4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,4,0,0,1,0,0,0,4,0,1,0
"bacardi",7,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,5,0,2,1,0,1,1,0,7,0,1,0
"baker-hughes",11,0,0,4,5,1,1,0,0,0,0,0,0,0,0,0,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,11,0,0,1,0,0,0,0,11,0,1,0
"ball-corp",4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,1,1,0,1,4,0,0,1,0,0,0,4,0,1,0,0
"bank-of-america",10,3,0,1,3,3,3,1,0,0,1,0,0,1,0,0,1,0,3,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,1,0,1,1,13,0,0,1,0,0,0,0,13,0,1,0
"barnes-noble",10,4,0,1,4,0,5,0,0,0,3,0,0,0,0,1,1,3,0,5,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,11,0,0,0,0,0,0,0,0,12,0,2,1,0,0,0,1,2,11,0,0,1,0,0,14,0,1,0
"baxalta-incorporated",9,1,1,2,4,2,1,0,0,1,0,0,1,0,0,0,2,0,2,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,3,0,0,0,0,2,0,4,0,0,1,0,0,1,0,0,4,2,5,1,0,1,1,4,1,6,1,0,1,1,1,10,0,1,0
