"","form_sans","form_serif","form_callig","class_grotesque","class_geom","class_geom-square","class_humanist","class_transitional","class_oldstyle","class_clarendon","class_slab","class_glyphic","class_casual","class_didone","class_monotype","class_amp","family_helvetica","family_futura","family_eurostile","family_gillsans","family_bauhaus","family_kepler","family_times","family_bembo","family_clarendon","family_rockwell","family_comfortaa","family_centaur","family_copperplate-gothic","family_nadianne","family_bodoni","family_trajan","family_americana","family_monotype","ver_bold","ver_cb","ver_bi","ver_wide","ver_light","ver_orig","ver_wb","ver_co","ver_cbi","ver_italic","ver_wbi","ver_wi","ver_ci","ver_wl","ver_wli","ver_li","width_condensed","width_wide","width_orig","width_has_condensed","width_has_wide","width_has_orig","width_mixed","weight_bold","weight_light","weight_orig","weight_has_bold","weight_has_light","weight_has_orig","weight_mixed","style_italic","style_orig","style_has_italic","style_has_orig","style_mixed"
"dillards",0,7,1,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,1,0,7,0,0,1,0,0,8,0,1,0
"dior",2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,4,0,0,1,0,0,4,0,1,0
"directv",5,0,2,3,1,1,0,0,0,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,3,1,3,1,0,1,1,1,0,6,0,0,1,0,0,7,0,1,0
"discover",7,1,0,3,3,0,1,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,1,0,3,0,5,1,0,1,1,0,8,0,1,0
"discovery-media",14,0,2,6,6,1,1,0,0,0,0,2,0,0,0,0,6,1,1,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,6,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,2,14,0,0,1,0,6,0,10,1,0,1,1,1,15,0,1,0
"dish-networks",3,9,1,3,0,0,0,5,0,1,1,1,0,1,1,0,3,0,0,0,0,0,5,0,1,1,0,0,0,0,1,1,0,1,3,1,0,1,0,5,1,1,0,0,1,0,0,0,0,0,2,3,8,0,0,1,0,6,0,7,1,0,1,1,1,12,0,1,0
"disney",3,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,3,0,1,1,0,0,0,2,2,1,1,1
"dollar-general",14,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,1,2,1,0,0,0,13,0,1,1,0,0,0,0,14,0,1,0
"dollar-tree",10,1,0,3,1,5,1,0,0,0,1,0,0,0,0,0,3,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,11,0,0,1,0,0,0,10,1,1,0,0
"dominion",8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,8,0,0,1,0,0,0,0,8,0,1,0
"dominos-pizza",7,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,7,0,0,1,0,0,0,0,7,0,1,0
"domtar-corporation",5,6,0,0,3,2,0,2,1,1,0,0,0,2,0,0,0,3,2,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,4,1,1,2,0,0,0,0,0,0,0,4,1,6,1,0,1,1,6,0,5,1,0,1,1,3,8,1,1,1
"doritos-tortilla-chips",11,3,2,5,5,1,0,0,0,0,2,2,0,1,0,0,5,2,1,0,2,0,0,0,0,2,1,0,2,0,1,0,0,0,8,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,4,2,10,0,0,1,0,14,1,1,1,0,0,0,1,15,0,1,0
"doubletree",8,5,1,3,4,1,0,1,2,0,1,1,0,1,0,0,3,3,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,2,5,0,0,1,3,0,1,1,0,0,0,0,1,0,0,7,1,6,1,0,1,1,8,2,4,1,0,1,1,1,13,0,1,0
"dover-corporation",5,2,0,0,2,3,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,1,1,7,0,0,1,0,0,0,0,7,0,1,0
"dow",2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,2,0,1,1,0,1,1,0,3,0,1,0
"dr-horton",4,6,0,0,3,0,1,3,0,0,0,0,0,3,0,0,0,0,0,1,1,1,3,0,0,0,2,0,0,0,2,0,0,0,3,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,4,1,0,1,1,8,0,2,1,0,0,0,0,10,0,1,0
"dr-pepper",6,2,0,1,2,2,1,1,0,0,0,0,0,1,0,0,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,1,1,0,0,0,6,0,2,1,0,0,0,1,7,0,1,0
"dte-energy-co",18,1,2,6,9,2,1,0,0,0,1,2,0,0,0,0,6,6,2,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,14,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,1,16,0,0,1,0,18,0,3,1,0,0,0,0,21,0,1,0
"du-pont",7,1,0,2,1,0,4,0,0,0,1,0,0,0,0,0,2,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,3,1,0,1,1,2,1,5,0,0,1,0,0,8,0,1,0
"duke-energy",10,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,10,0,0,1,0,0,10,0,1,0
"eastman-chemical-company",6,0,1,5,0,1,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,7,0,0,1,0,0,0,0,7,0,1,0
"eaton",4,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,1,1,5,0,0,1,0,0,0,0,5,0,1,0
"ebay",3,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,1,3,0,0,1,0,0,4,0,1,0
"ecolab-inc",4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,4,0,0,1,0,0,0,0,4,0,1,0
"edison-international",10,9,0,4,3,0,3,6,0,0,0,0,0,3,0,0,4,1,0,3,1,1,6,0,0,0,1,0,0,0,2,0,0,0,2,1,0,3,0,13,0,0,0,0,0,0,0,0,0,0,1,3,15,0,0,1,0,3,0,16,0,0,1,0,0,19,0,1,0
"electronic-arts",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
"eli-lilly-and-company",2,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,4,0,0,1,0,0,0,3,1,1,0,0
"emc-corporation",0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,3,0,1,1,0,0,0,0,4,0,1,0
"emc2",0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,3,0,1,1,0,0,0,0,4,0,1,0
"emcor-group",2,4,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,0,0,0,6,0,0,1,0,0,0,2,4,1,1,1
"emerson",5,2,0,1,2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,4,1,0,1,1,5,0,2,1,0,1,1,0,7,0,1,0
"energy-future-holdings-corp",20,2,0,8,5,2,5,0,0,0,1,0,0,1,0,0,8,2,2,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,18,0,0,0,0,0,0,0,0,0,0,2,1,19,0,0,1,0,3,0,19,0,0,1,0,0,22,0,1,0
"energy-transfer-equity",13,1,0,4,8,0,1,1,0,0,0,0,0,0,0,0,4,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,1,0,3,5,6,0,1,1,1,0,14,0,1,0
"entergy",6,2,0,3,2,1,0,1,0,0,0,0,0,1,0,0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,1,0,0,1,3,0,5,1,0,1,1,3,1,4,1,0,1,1,7,1,1,0,0
"enterprise",9,1,0,6,0,0,3,0,0,1,0,0,0,0,0,0,6,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,1,7,2,0,1,0,0,8,0,2,1,0,0,0,0,10,0,1,0
"envision-healthcare-holdings",14,2,0,4,7,2,1,0,0,0,2,0,0,0,0,0,4,2,2,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,2,1,10,1,1,0,0,0,0,0,0,0,0,2,3,11,0,0,1,0,2,1,13,0,0,1,0,0,16,0,1,0
"eog-resources",12,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,10,0,0,1,0,12,0,0,1,0,0,0,12,0,1,0,0
"equinix",7,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,2,5,0,1,1,1,0,4,3,0,1,1,1,0,7,0,1,0
"erie-insurance-group",8,1,0,3,4,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,3,6,0,1,1,0,1,0,9,0,1,0
"espn",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"essendant",19,0,2,4,9,2,4,0,0,0,0,2,0,0,0,0,4,1,2,4,0,0,0,0,0,0,8,0,1,0,0,1,0,0,7,1,0,0,4,8,0,0,0,0,0,0,0,1,0,0,1,1,19,0,0,1,0,8,5,8,1,0,1,1,0,21,0,1,0
"esso",4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,4,0,0,1,0,0,0,0,4,0,1,0
"estee-lauder",8,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1,1,6,0,0,1,0,1,6,1,0,1,0,0,0,8,0,1,0
"eversource-energy",9,0,0,2,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,2,0,7,0,0,1,0,0,9,0,1,0
"exelon",5,2,1,1,1,1,2,0,0,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,3,0,5,1,0,1,1,0,8,0,1,0
"expedia",7,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,6,0,0,1,0,0,7,0,1,0
"expeditors-international-of-washington",7,6,0,1,5,0,1,1,1,1,3,0,0,0,0,0,1,3,0,1,0,0,0,1,1,3,2,0,0,0,0,0,1,0,1,4,0,0,4,3,0,0,0,0,1,0,0,0,0,0,4,1,8,1,0,1,1,6,4,3,1,1,0,1,1,12,0,1,0
"express-scripts",12,1,0,1,6,0,5,1,0,0,0,0,0,0,0,0,1,4,0,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,0,0,0,0,0,0,0,0,2,0,11,0,0,1,0,0,7,6,0,1,1,1,0,13,0,1,0
"exxonmobil",8,1,2,2,3,1,2,0,0,0,1,2,0,0,0,0,2,1,1,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,6,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,1,0,7,0,4,1,0,1,1,0,11,0,1,0
"family-dollar",10,0,1,2,7,0,1,0,0,0,0,1,0,0,0,0,2,4,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9,0,0,1,0,11,0,0,1,0,0,0,0,11,0,1,0
"fannie-mae",5,2,0,2,2,1,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,4,0,1,1,1,6,0,1,1,0,0,0,4,3,1,1,1
"fanta",2,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,3,0,1,1,0,0,0,0,4,0,1,0
"farmers-insurance-exchange",13,3,2,2,6,3,2,2,1,0,0,2,0,0,0,0,2,3,3,2,0,0,1,0,0,0,3,1,2,0,0,0,1,0,5,2,0,0,1,9,0,1,0,0,0,0,0,0,0,0,3,0,15,0,0,1,0,7,1,10,1,0,1,1,0,18,0,1,0
"fastenal-co",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
"fedex",3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,3,0,0,1,0,0,0,0,3,0,1,0
"fidelity-national",7,0,2,3,0,2,2,0,0,0,0,2,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,3,4,0,1,1,1,4,0,5,1,0,1,1,0,9,0,1,0
"fifth-third-bank",11,3,0,4,1,2,4,1,0,0,1,0,0,1,0,0,4,0,2,4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,4,2,0,3,0,1,1,1,1,0,0,1,0,0,0,0,4,5,5,1,1,1,1,8,0,6,1,0,1,1,2,12,0,1,0
"first-american-financial-corporation",3,12,0,3,0,0,0,3,1,1,3,0,0,4,0,0,3,0,0,0,0,4,3,0,1,3,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,3,1,0,0,0,0,0,4,11,0,1,1,1,10,0,5,1,0,1,1,15,0,1,0,0
"first-data-corp",8,2,0,2,1,0,5,0,0,0,2,0,0,0,0,0,2,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,9,0,0,1,0,2,8,0,1,0
"firstenergy-corp",7,1,0,3,2,1,1,0,0,1,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,1,2,5,0,0,1,0,2,1,5,0,0,1,0,8,0,1,0,0
"fiserv-inc",4,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,1,5,0,0,1,0,0,6,0,1,0
"florida-power-and-light",4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,4,0,0,1,0,0,0,1,3,0,1,0
"flowers-foods",3,9,1,0,3,0,0,2,4,0,0,1,0,3,0,0,0,3,0,0,0,2,0,1,0,0,0,3,0,0,1,1,2,0,1,2,0,1,0,7,0,1,0,0,0,0,0,1,0,0,3,2,8,0,0,1,0,3,1,9,0,0,1,0,0,13,0,1,0
"fluor",6,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,1,0,5,1,0,1,0,0,0,4,2,1,1,1
"fmc-technologies",15,0,0,5,3,3,4,0,0,0,0,0,0,0,0,0,5,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,2,3,10,0,0,1,0,10,0,5,1,0,1,1,0,15,0,1,0
"folgers",6,3,0,1,4,0,1,1,0,0,0,0,0,2,0,0,1,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,0,6,1,0,1,1,6,1,2,1,0,0,0,1,8,0,1,0
"food-4-less",9,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,1,1,0,0,0,10,0,0,1,0,0,0,10,0,1,0,0
"foot-locker",10,0,0,1,6,1,2,0,0,0,0,0,0,0,0,0,1,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,10,0,0,1,0,0,0,1,9,0,1,0
"ford",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,1,0,0
"fossil",3,0,2,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,2,3,0,1,1,1,0,5,0,1,0
"fox",3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,3,0,0,1,0,0,0,0,3,0,1,0
"franklin-templeton-investments",7,9,3,1,3,0,3,6,2,0,0,3,0,1,0,0,1,3,0,3,0,1,5,1,0,0,0,1,0,0,0,3,1,0,2,1,0,0,0,10,0,4,1,0,0,0,0,1,0,0,6,1,12,1,0,1,1,4,1,14,0,0,1,0,1,18,0,1,0
"freddie-mac",5,7,0,1,4,0,0,2,1,0,1,0,0,2,1,0,1,4,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,1,0,3,1,0,2,3,0,1,0,0,0,0,0,2,0,0,4,2,6,1,0,1,1,4,4,4,1,1,1,1,1,11,0,1,0
"freeport-mcmoran",14,1,0,5,3,4,2,1,0,0,0,0,0,0,0,0,5,1,4,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,12,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,1,0,13,0,2,1,0,0,0,0,15,0,1,0
"frontier",7,1,0,1,2,0,4,0,0,0,1,0,0,0,0,0,1,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,7,0,0,1,0,4,0,4,1,0,1,1,2,6,0,1,0
"gamestop",7,2,0,0,3,4,0,1,0,0,1,0,0,0,0,0,0,3,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,1,1,7,0,2,1,0,0,0,0,9,0,1,0
"gap",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,2,0,1,0
"garmin",6,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,1,1,2,0,4,1,0,1,1,0,6,0,1,0
"gatorade",2,5,2,0,1,0,1,0,0,0,3,2,0,2,0,0,0,0,0,1,1,2,0,0,0,3,0,0,2,0,0,0,0,0,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,6,1,0,1,1,7,0,2,1,0,0,0,0,9,0,1,0
"ge",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0
"geico",5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,5,0,0,1,0,0,0,0,5,0,1,0
"general-dynamics",19,2,0,0,7,11,1,0,0,0,1,0,0,1,0,0,0,2,11,1,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,2,0,0,6,0,12,0,0,0,0,0,0,0,0,0,2,12,7,0,1,1,1,15,6,0,1,1,0,1,0,21,0,1,0
"general-mills",11,1,0,4,4,0,3,0,0,0,0,0,0,1,0,0,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,3,0,0,0,4,0,8,1,0,1,1,1,0,11,0,0,1,0,12,0,1,0,0
"general-motors",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,1,0
"gilead-sciences",6,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,6,0,0,1,0,0,6,0,1,0
"gillette",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,3,0,0,1,0,0,0,3,0,1,0,0
"global-partners-lp",1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,0,3,0,1,0,0
"gmc",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
"goldman-sachs",7,3,0,6,0,0,1,1,1,0,0,0,0,1,0,0,6,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0,0,10,0,0,1,0,0,0,1,9,0,1,0
"goodyear",5,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,1,0,8,0,0,1,0,0,0,8,0,1,0,0
"google",5,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,6,0,0,1,0,0,6,0,1,0
"graybar-electric-company",5,3,1,1,3,1,0,0,0,1,0,1,0,2,0,0,1,1,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,1,4,4,0,1,1,1,7,0,2,1,0,0,0,2,7,0,1,0
