name,index,ncolors,nregions,frac,pcm,h_sym,v_sym,rep_frac,rep_pcm,h_pos,v_pos,avg_left,avg_right,avg_top,avg_bot,abs_left,abs_right,abs_top,abs_bot,ch_density,ch_entropy,ar,ncorners,down_diag,vert,up_diag,hor
liberty-mutual-holding-company,1,4,13,0.04105499561787905,81.23214146630502,0.25091151902136977,0.2653182288505972,9.298991915903716,8.812140211364593,0.4904371584699453,0.5,False,False,False,False,False,False,False,False,0.10454006555547808,0.498337284389103,3.9857142857142858,81,0.11422018348623855,0.2495412844036697,0.08302752293577982,0.5532110091743119
lilly,1,2,4,0.14209065679925995,35.314229940171096,0.2360635208732953,0.06007172689979474,0.2703301246171461,10.002615299581413,0.4981481481481482,0.5,False,False,False,False,False,False,False,False,0.3676400191479177,1.2462924326714615,1.8888888888888888,51,0.07702825888787602,0.15861440291704648,0.4179580674567001,0.3463992707383774
lincoln,1,2,2,0.009963768115942028,9.117463593068578,-0.13126997057512588,0.988465588770543,0.0,5.1686673011753355,0.234375,0.4957627118644068,True,False,False,False,False,False,False,False,0.1810126582278481,0.7800785605980544,0.6,9,0.05555555555555555,0.7777777777777778,0.0625,0.10416666666666667
linkedin,1,2,3,0.17001307044133596,1.6270849665892628,0.2610873629661856,0.2604319943937059,0.3123749731415165,4.200241033271431,0.8096646942800789,0.4974226804123712,False,True,False,False,False,False,False,False,0.9779252979284973,0.7269253293324233,1.0,5,0.0371900826446281,0.4586776859504133,0.0371900826446281,0.4669421487603306
lithia-motors,1,2,6,0.07035915783679647,20.583063978000354,0.1028322890697196,0.5341019119399653,0.18528484714716129,27.24537044430968,0.2627659574468085,0.3779904306220096,True,False,False,False,False,False,False,False,0.3903947468886004,0.6290277119377847,2.141025641025641,27,0.13006923837784373,0.5578635014836796,0.006429277942631058,0.3056379821958457
live-nation-entertainment,1,2,9,0.0498837749883775,30.85388406328321,0.8650857087488321,0.9108537871334428,0.13380474969285402,46.83988639258857,0.5,0.5,False,False,False,False,False,False,False,False,0.11088147153043297,0.3540267939560265,4.104166666666667,15,0.015165876777251184,0.20853080568720375,0.011374407582938388,0.7649289099526067
lkq-corporation,1,2,11,0.07428029104713699,38.94768188290389,0.2752992930417217,0.3931891960860101,0.1780378613224365,12.900414525906436,0.4954545454545455,0.4463087248322148,False,False,False,False,False,False,False,False,0.2669395179627103,1.110845678761475,4.660377358490567,56,0.05391304347826087,0.1608695652173913,0.08869565217391304,0.6965217391304348
lm,1,6,21,0.6805460263007432,53.84775558035914,0.7266381219219319,0.030443806116652712,0.22561938045647356,32.60555517261885,0.4983552631578948,0.498360655737705,False,False,False,False,False,False,False,False,0.9531350096092248,1.212699337787723,1.0045045045045045,291,0.09547461368653422,0.3857615894039736,0.10402869757174392,0.4147350993377483
lockheed-martin,1,1,1,0.018069870164636598,69.28274640978351,0.3703277051437528,0.08319542325328648,0.0,0.0,0.7750200160128102,0.5,False,True,False,False,False,False,False,False,0.0973377703826955,0.2850251118494017,2.416243654822335,22,0.00521978021978022,0.14285714285714285,0.2733516483516483,0.5785714285714286
loews-corporation,1,3,5,0.014900460041525872,6.740277067377463,0.31473698439930003,0.7408480332449265,0.2547869511112526,10.430051290916767,0.49822695035461,0.25308641975308643,False,False,True,False,False,False,False,False,0.3202099737532809,0.6301435139408484,1.186046511627907,12,0.03571428571428571,0.575,0.017857142857142856,0.37142857142857133
