name,area,frac,r,g,b,color_label
american-financial-group,3442,0.048444757,7.842242882,29.37943056,97.47298083,7
american-financial-group,1647,0.023180859,176.6217365,167.0619308,183.2580449,8
american-financial-group,64537,0.90833216,254.8201652,254.7674667,254.8060183,0
ameriprise-financial,3804,0.10457732,18.38196635,69.84332282,113.5649317,3
ameriprise-financial,32571,0.89542268,252.9217095,253.4706334,253.7385097,0
amerisourcebergen,1919,0.027330343,8.361646691,81.63678999,152.214174,3
amerisourcebergen,2848,0.040561134,37.84480337,33.84234551,34.83532303,1
amerisourcebergen,62634,0.892031617,254.7278635,254.7418335,254.7633234,0
amerisourcebergen,1555,0.022146265,5.409646302,2.050160772,2.688102894,1
amerisourcebergen,1259,0.017930642,160.1818904,163.2168388,168.4297061,8
amgen,166025,0.539322375,33.89354615,98.63190483,165.3612348,3
amgen,141815,0.460677625,254.0743151,254.3465853,254.6255333,0
anadarko,20995,0.272361679,24.57989998,75.60576328,125.2355799,3
anadarko,56090,0.727638321,253.2648066,253.5845249,253.9397397,0
anixter-international,29409,0.567303241,254.6744194,254.6756435,254.6765956,0
anixter-international,1155,0.022280093,185.2571429,185.8562771,187.3047619,8
anixter-international,21276,0.410416667,128.1334837,130.1334837,133.1241305,6
anthem,91528,0.220647227,23.57918888,124.2034678,190.9693973,3
anthem,308278,0.743168055,254.1403765,254.4238544,254.6111464,0
anthem,15010,0.036184718,4.615456362,4.615456362,4.615456362,1
apache,11410,0.192216981,209.291411,164.552936,13.24951797,11
apache,47950,0.807783019,254.804755,254.6223775,254.1312617,0
apple,5983,0.311274127,37.03259234,33.04997493,34.04596356,1
apple,13238,0.688725873,254.2912827,254.2776099,254.2812358,0
applied-materials,11276,0.179251582,18.41450869,146.1285917,200.5448741,9
applied-materials,51630,0.820748418,252.3381367,253.5548712,254.2494093,0
aramark,16824,0.086650185,230.5302544,36.61846172,55.63005231,2
aramark,20532,0.105747837,38.24483733,35.05971167,36.14211962,1
aramark,154392,0.795179234,254.2704803,253.9908868,254.0058941,0
aramark,2412,0.012422744,25.54933665,22.98797678,23.64386401,1
archerdanielsmidland-company,13606,0.193861849,3.78487432,75.68668235,145.5171248,3
archerdanielsmidland-company,2802,0.039923629,7.700214133,169.7569593,80.16987866,10
archerdanielsmidland-company,53776,0.766214522,253.750874,254.1534699,254.2247471,0
arrow-electronics,46800,0.28439475,1.506559829,82.93995726,155.9139316,3
arrow-electronics,3692,0.022435586,146.1587216,163.6787649,205.9314735,9
arrow-electronics,114068,0.693169665,254.8859978,254.899893,254.9473472,0
arthur-j-gallagher--co,5151,0.071067881,156.354106,195.1261891,224.2463599,8
arthur-j-gallagher--co,59953,0.827166115,254.3926576,254.5097493,254.6017047,0
arthur-j-gallagher--co,6308,0.087030905,5.17961319,5.381103361,5.536620165,1
arthur-j-gallagher--co,1068,0.014735099,95.44850187,98.39513109,100.5608614,6
asbury-automotive-group,2152,0.058557823,155.5738848,32.83410781,24.20399628,13
asbury-automotive-group,32774,0.891809524,254.6469457,254.4396778,254.3799353,0
asbury-automotive-group,1824,0.049632653,185.2631579,149.0487939,147.1343202,8
ashland,1294,0.02574612,210.0270479,212.7982998,209.0108192,0
ashland,3419,0.068026263,136.2708394,129.4325826,124.3966072,6
ashland,585,0.011639475,86.68717949,197.8495726,195.2512821,8
ashland,43911,0.87367688,254.758967,254.7747034,254.7469655,0
ashland,1051,0.020911261,181.7697431,182.4452902,129.1855376,12
assurant,2306,0.030640446,247.3057242,156.876843,16.55810928,5
assurant,2257,0.02998937,63.6818786,184.9149313,59.89765175,10
assurant,2283,0.030334839,21.34428384,117.5545335,196.6421375,3
assurant,64226,0.853388254,254.4383116,254.4698409,254.4188335,0
assurant,4188,0.05564709,115.6057784,113.5596944,114.0420248,6
att,3328,0.203125,14.49023144,160.1629095,216.77367,9
att,13056,0.796875,251.928927,253.8164203,253.9747262,0
audi,30440,0.763596227,254.6263141,254.6263141,254.6263141,0
audi,8632,0.216536223,0.938021316,0.938021316,0.938021316,1
audi,792,0.01986755,142.3838384,142.3838384,142.3838384,8
autoliv,8487,0.121346869,0.987039001,81.09744315,157.8438789,3
autoliv,56560,0.808693166,253.8259732,253.8737034,253.9562989,0
autoliv,2951,0.042193309,0.739071501,0.739071501,0.739071501,1
autoliv,1942,0.027766657,145.8985886,153.3565081,165.2911657,8
autonation,1589,0.021953578,201.4096916,167.8898678,180.1655129,8
autonation,54942,0.759077093,254.7560154,254.70174,254.7200866,0
autonation,15057,0.208027079,0.360895265,0.360895265,0.360895265,1
autonation,792,0.010942249,97.85858586,97.85858586,97.85858586,6
autoowners-insurance-group,13169,0.18170905,19.85238059,69.28551902,120.1644012,3
autoowners-insurance-group,59304,0.81829095,253.6693815,253.8424895,254.0875826,0
autozone,41948,0.219853249,234.0175932,49.22413464,39.23417088,2
autozone,36236,0.189916143,232.3914063,134.1014737,63.43178055,5
autozone,94857,0.497154088,253.7037857,252.6191741,252.1038932,0
autozone,17759,0.09307652,43.13553691,39.17337688,41.13869024,1
avery-dennison-corporation,6747,0.104775215,224.8637913,38.54009189,35.69601304,2
avery-dennison-corporation,3688,0.057271527,37.91621475,34.01654013,34.9994577,1
avery-dennison-corporation,730,0.011336284,22.75479452,16.76986301,18.76986301,1
avery-dennison-corporation,50962,0.791396848,254.800989,254.5923826,254.591892,0
avery-dennison-corporation,880,0.013665657,1.615909091,3.50E-12,3.41E-13,1
avery-dennison-corporation,1388,0.021554469,187.0288184,151.8667147,151.4243516,8
avis-budget-group,1215,0.045883686,204.7300412,60.73497942,52.01728395,2
avis-budget-group,1492,0.056344411,31.05294906,46.19235925,91.32908847,3
avis-budget-group,863,0.032590634,206.0173812,173.4831981,174.5318656,8
avis-budget-group,22910,0.865181269,254.6309472,254.2394588,254.1082497,0
avnet,7006,0.094560669,220.805167,43.28946617,43.27819012,2
avnet,58854,0.794358213,254.1019642,253.1671594,253.1671594,0
avnet,8230,0.111081118,20.78857837,20.78857837,19.03924666,1
avon,17381,0.948433919,254.4456015,254.4456015,254.4456015,0
avon,563,0.030721379,30.68561279,30.68561279,30.68561279,1
avon,382,0.020844702,145.1020942,145.1020942,145.1020942,8
bacardi,1178,0.048231248,205.5339559,19.89813243,36.38624788,2
bacardi,472,0.019325254,129.0720339,124.4427966,122.3771186,6
bacardi,309,0.01265149,125.6116505,12.69902913,19.74433657,13
bacardi,636,0.026039961,70.30866142,68.08346457,65.28346457,6
bacardi,19360,0.792662954,254.8539773,254.8242252,254.8191632,0
bacardi,1976,0.080904029,18.2388664,13.15536437,10.7312753,1
bacardi,493,0.020185064,206.7834008,192.8178138,192.5101215,8
baker-hughes,5040,0.123046875,1.715277778,118.7315476,189.9170635,3
baker-hughes,27633,0.674633789,254.055839,254.2088807,254.3577245,0
baker-hughes,7323,0.17878418,1.44148573,1.44148573,1.44148573,1
baker-hughes,964,0.023535156,133.4045643,144.0705394,153.5238589,8
ball-corp,16984,0.501654064,3.340261423,172.6391898,205.3992581,9
ball-corp,16872,0.498345936,251.6595543,253.8346965,254.2943931,0
bank-of-america,3256,0.044133594,227.2985258,25.66001229,55.34920147,2
bank-of-america,11267,0.152719041,6.107038253,104.1833674,177.6266087,3
bank-of-america,59253,0.803147365,253.740992,253.890706,254.2978077,0
barnes-noble,22213,0.283097981,54.53716292,98.67856661,81.71845316,4
barnes-noble,3824,0.048735726,188.8478033,192.0185669,182.0800209,8
barnes-noble,52427,0.668166293,254.4819654,254.5777939,254.5244626,0
baxalta-incorporated,13789,0.816303576,254.1997969,254.5369497,254.815215,0
baxalta-incorporated,865,0.051207672,43.37919075,144.2069364,208.3421965,9
baxalta-incorporated,1550,0.091759413,1.87483871,76.01741935,179.4277419,7
baxalta-incorporated,688,0.040729339,155.1787791,195.2311047,230.4084302,9
baxter-international,23239,0.321091537,37.06428848,41.116184,105.604372,7
baxter-international,49136,0.678908463,253.7536633,253.7713082,254.0698266,0
bbt,7012,0.231839974,138.389313,5.568278202,39.28866271,13
bbt,900,0.029756985,119.2195704,3.69E-13,7.582338902,13
bbt,22333,0.738403042,253.6279049,252.2930641,252.7873998,0
bcg,22945,0.10152026,27.81834822,127.9253868,93.27304424,4
bcg,203069,0.89847974,253.9703303,254.4249245,254.267446,0
becton-dickinson-and-company,2789,0.102748305,241.2144138,106.4919326,35.62423808,5
becton-dickinson-and-company,2742,0.101016799,5.702771699,87.92669584,156.7888403,3
becton-dickinson-and-company,21613,0.796234895,253.7650488,253.485171,253.5489289,0
bed-bath-and-beyond,48440,0.347913524,41.98340215,55.81564822,146.5917011,7
bed-bath-and-beyond,90790,0.652086476,253.0922569,253.2223042,254.0337813,0
berkshire-hathaway,5667,0.109519944,49.94529734,53.07358391,148.9338274,7
berkshire-hathaway,46077,0.890480056,252.5006185,252.5286151,253.6055516,0
