"","X","name","feat","area","frac","label","selem","label.1","selem_desc"
"67",66,"activision-blizzard",13,1242,0.0149208904479871,67,67,6,"Combined strings and curved decorations"
"68",67,"activision-blizzard",14,962,0.011557082617523,67,67,6,"Combined strings and curved decorations"
"70",69,"activision-blizzard",16,476,0.00571847331178895,25,25,6,"Mixture of strings and curved long solid elements"
"72",71,"activision-blizzard",18,3500,0.0420475978808011,71,71,6,"Small curvy decorations mixed with letters"
"74",73,"adidas",0,5668,0.0814648729446936,41,41,1,"Small geometric decorations"
"75",74,"adidas",1,3576,0.0513970334598137,41,41,1,"Small geometric decorations"
"76",75,"adidas",2,1278,0.0183684028975509,11,11,6,"Mix of chars and ovals"
"80",79,"adidas",6,5505,0.0791221110727837,16,16,1,"Small diagonal decorative"
"81",80,"adidas",7,3113,0.0447424399218121,35,35,1,"Small decorations, diagonal orientation"
"83",82,"adobe",0,3984,0.0682565789473684,15,15,6,"Small curves decorations and fonts"
"84",83,"adobe",1,3951,0.0676912006578947,35,35,1,"Small decorations, diagonal orientation"
"85",84,"adobe",2,2121,0.0363384046052632,72,72,6,"Tall, narrow, decorations (decorative Y, a deer)"
"86",85,"adobe",3,794,0.0136033442982456,92,92,1,"Small-medium triangles"
"89",88,"adp",0,17640,0.247603273304044,6,6,1,"Long, horizontal, boxy"
"90",89,"adp",1,1700,0.0238619934590065,74,74,1,"Small decorations, like an L rotated clockwise 90 degrees"
"96",95,"advance-auto-parts",2,557,0.0276783939574637,25,25,6,"Mixture of strings and curved long solid elements"
"98",97,"advance-auto-parts",4,342,0.016994633273703,55,55,6,"Combined decorative strings and some small decorative objects"
"100",99,"advance-auto-parts",6,170,0.00844762472669449,16,16,1,"Small diagonal decorative"
"103",102,"advance-auto-parts",9,301,0.014957264957265,67,67,6,"Combined strings and curved decorations"
"104",103,"advance-auto-parts",10,170,0.00844762472669449,16,16,1,"Small diagonal decorative"
"109",108,"advance-auto-parts",15,3690,0.183363148479428,6,6,1,"Long, horizontal, boxy"
"111",110,"aecom-technology",0,1754,0.0647901891252955,55,55,6,"Combined decorative strings and some small decorative objects"
"112",111,"aecom-technology",1,382,0.0141105200945626,25,25,6,"Mixture of strings and curved long solid elements"
"113",112,"aes",0,2024,0.029435718440954,92,92,1,"Small-medium triangles"
"114",113,"aes",1,1888,0.0274578243164631,28,28,1,"Small curved geometric decorative"
"115",114,"aes",2,970,0.0141070389761489,42,42,6,"Narrow hollow decorations and fonts"
"116",115,"aes",3,994,0.014456079115765,57,57,1,"Small curved, L-like decorative objects"
"117",116,"aes",4,6113,0.0889034322280396,4,4,1,"Small round decorative elements"
