name,charming,cheerful,confident,contemporary,cool,corporate,daring,down.to.earth,exciting,familiar_with,family.oriented,favorability_rating,feminine,friendly,glamorous,good.looking,hard.working,honest,imaginative,independent,intelligent,leader,logo_consist,masculine,original,outdoorsy,purch_lik,purchased,real,reliable,rugged,secure,sentimental,sincere,small.town,smooth,spirited,successful,technical,tough,trendy,unique,up.to.date,upper.class,western,wholesome,young
campbells,0,0,4,0,0,2,0,0,0,2,4,4,0,2,0,0,0,4,2,4,4,3,4,0,0,0,4,1,4,2,0,3,0,3,0,0,0,4,0,0,0,0,4,0,0,3,0
campbells,2,4,3,2,0,1,0,4,0,2,4,4,0,4,0,3,3,3,0,4,3,4,2,2,4,1,3,1,4,4,2,4,4,4,2,1,0,4,0,2,0,2,1,3,0,4,0
campbells,3,3,3,0,0,0,0,0,0,2,4,2,0,4,0,0,0,2,0,0,1,0,2,0,0,0,2,0,2,4,0,0,4,1,0,0,0,3,1,0,1,0,0,0,0,4,0
campbells,1,4,0,0,1,1,0,2,0,2,3,3,1,3,0,0,2,3,1,1,1,0,3,2,2,1,3,1,1,2,0,1,2,3,1,0,2,2,0,1,0,2,0,0,0,3,0
campbells,1,3,0,0,0,3,0,2,1,2,4,3,0,0,3,1,4,3,0,3,1,0,3,1,1,0,3,1,3,3,1,4,3,2,2,0,1,0,0,0,0,0,1,1,1,3,0
campbells,3,3,4,1,2,1,3,3,3,2,3,4,0,3,0,1,3,4,4,4,3,4,4,3,3,2,4,1,4,3,0,3,3,4,1,4,4,4,0,2,2,2,2,1,1,4,2
campbells,3,3,4,3,2,4,3,2,2,2,3,3,2,3,2,2,4,3,1,1,3,4,2,2,3,0,4,1,4,3,2,4,1,3,1,3,2,4,2,1,4,3,4,4,1,3,1
campbells,3,3,3,2,3,2,2,3,3,2,4,4,2,3,2,3,3,3,2,3,2,2,3,2,3,1,3,1,3,3,1,2,3,4,1,2,3,4,2,1,3,2,2,1,3,4,3
campbells,0,0,4,0,0,3,0,2,0,2,4,2,0,2,0,2,0,4,0,4,3,2,4,0,4,0,3,1,4,2,0,4,4,3,3,0,0,4,0,0,0,0,0,0,2,4,0
campbells,3,1,3,0,2,0,1,2,0,2,4,3,0,3,0,2,3,2,0,0,1,1,3,0,3,1,4,1,3,2,1,2,1,3,2,1,1,3,0,0,1,2,0,0,1,3,0
campbells,4,4,3,4,4,1,3,4,2,2,4,4,0,4,1,1,4,4,3,2,2,3,4,0,4,0,4,1,3,4,0,4,2,4,0,1,2,2,1,0,3,4,3,0,4,4,2
campbells,1,2,2,2,2,2,1,3,1,2,3,3,2,3,1,2,2,2,2,2,2,2,3,2,2,2,4,1,3,2,2,2,3,2,3,1,1,2,1,2,1,2,2,1,2,3,1
capital-one,2,3,3,2,3,2,2,4,2,2,2,4,1,3,0,3,3,3,1,3,3,3,3,2,3,2,4,1,3,3,1,4,2,3,0,3,2,3,2,2,2,3,3,1,2,3,1
capital-one,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,3,1,2,2,0,1,1,1,2,1,2,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1
capital-one,1,2,2,2,2,2,2,1,2,2,1,1,2,0,1,1,2,2,1,2,2,2,2,3,2,1,1,1,3,1,1,2,1,1,2,1,2,2,2,1,1,1,2,3,1,2,3
capital-one,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
capital-one,3,4,4,3,4,4,4,3,3,2,4,4,2,4,1,4,4,4,4,4,4,4,4,0,2,2,4,1,4,3,4,4,1,4,0,4,4,4,3,3,4,4,4,4,0,3,4
capital-one,1,0,2,1,0,4,1,1,0,1,1,1,0,2,0,0,2,2,0,1,2,1,2,0,0,0,2,0,2,2,0,2,1,1,0,1,1,2,2,2,0,1,2,2,1,0,0
capital-one,0,0,3,3,0,4,0,1,0,2,1,1,0,2,0,0,2,3,0,3,2,4,1,0,0,0,2,1,3,3,0,3,0,3,1,1,0,4,2,0,0,0,3,1,0,2,0
capital-one,2,2,4,4,4,4,1,1,1,2,1,4,1,3,1,2,4,4,1,4,4,4,3,2,4,0,4,0,4,4,0,4,0,4,0,4,3,4,1,0,2,2,4,1,3,2,2
capital-one,3,1,4,4,4,4,2,2,0,2,2,2,1,1,1,4,4,3,3,3,4,3,4,2,4,0,3,1,4,4,0,4,2,4,1,2,4,4,4,0,2,3,4,2,2,1,0
capital-one,0,0,3,0,0,4,0,0,0,1,1,2,0,1,0,0,3,1,1,3,3,2,3,1,0,0,2,0,2,2,0,3,0,1,0,0,0,3,1,0,0,0,3,1,0,0,0
capital-one,0,0,0,0,2,4,0,0,0,1,0,1,1,2,0,1,0,2,2,2,0,2,2,1,2,1,2,0,1,0,1,1,0,1,0,2,0,3,0,1,0,0,2,1,0,1,1
capital-one,3,2,2,3,1,4,2,1,2,2,1,0,0,2,1,1,2,1,2,2,3,3,3,1,2,0,1,1,2,2,0,2,1,2,2,1,2,3,2,2,1,2,2,4,0,2,1
capital-one,0,2,3,4,0,3,0,0,0,2,0,3,0,2,0,2,2,2,2,2,2,3,3,0,1,0,4,1,4,4,0,3,0,2,0,2,0,3,3,0,2,1,4,0,4,0,1
capital-one,0,0,2,2,0,4,0,0,0,2,0,3,0,0,0,0,2,4,0,0,4,2,2,0,0,0,3,1,0,3,0,3,0,0,0,0,0,4,3,0,0,0,0,1,2,0,0
capital-one,0,0,0,1,0,3,1,1,1,1,0,1,0,1,1,0,2,1,0,2,2,1,3,0,1,0,2,0,3,2,0,2,0,1,0,1,1,2,0,0,0,1,2,2,2,0,0
capital-one,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
capital-one,2,3,3,0,1,3,3,1,1,1,0,2,0,3,1,0,3,2,2,4,3,3,2,2,1,0,2,0,2,3,0,3,0,3,0,2,3,3,3,2,1,1,3,1,0,1,1
capital-one,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,3
capital-one,0,1,4,0,0,3,0,1,0,2,0,3,1,3,0,0,2,2,0,4,0,4,4,1,0,0,3,1,2,4,0,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0
capital-one,1,0,3,3,1,4,1,2,1,2,0,3,0,2,1,1,2,2,1,1,2,3,3,0,1,0,3,1,4,2,0,3,0,2,0,3,1,3,1,0,1,2,2,3,3,1,0
caterpillar,3,3,3,2,3,2,3,3,3,1,3,3,1,3,1,2,4,3,3,4,3,3,3,3,3,4,3,1,3,3,2,3,1,3,2,3,2,3,3,4,3,3,3,2,4,3,1
caterpillar,0,0,3,0,0,4,3,4,2,2,0,3,0,0,0,0,4,0,0,0,2,4,3,4,0,2,0,0,0,3,4,0,0,0,0,0,0,4,3,4,0,0,0,0,4,0,0
caterpillar,0,0,2,1,1,1,1,3,1,2,1,4,0,1,0,1,4,3,1,2,1,1,1,3,2,4,2,0,2,3,4,1,0,1,1,0,1,2,2,3,0,1,1,0,1,1,0
caterpillar,3,2,3,3,2,1,3,2,2,1,2,3,0,2,1,2,4,1,1,1,3,2,3,3,2,3,2,0,1,2,2,1,2,2,1,2,1,3,3,4,2,2,1,1,3,3,1
caterpillar,0,0,3,0,2,3,1,4,1,2,0,2,0,1,0,0,4,4,0,4,1,4,2,4,3,4,2,1,4,4,4,4,0,3,3,1,0,4,1,4,1,2,0,1,4,4,0
caterpillar,1,1,3,0,1,2,2,2,1,2,0,3,0,3,0,0,3,4,0,2,2,3,2,3,4,4,4,0,3,4,4,2,1,3,0,1,3,4,3,4,0,2,3,0,1,2,0
caterpillar,0,0,2,0,0,2,0,2,0,2,0,3,0,0,0,0,4,3,2,2,2,3,3,4,3,4,3,0,4,4,4,3,0,0,0,0,2,2,3,4,0,0,2,0,1,0,0
caterpillar,0,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,3,2,0,1,1,2,3,2,0,1,3,0,0,3,3,1,0,2,0,0,0,2,1,3,0,0,0,0,1,0,0
caterpillar,0,0,2,0,0,1,2,0,0,1,0,2,0,0,0,0,4,2,0,1,2,1,2,4,0,4,1,0,2,3,2,3,0,2,0,2,3,3,4,4,0,0,2,0,2,1,0
caterpillar,2,2,3,3,1,2,3,3,2,1,3,2,0,2,3,2,2,3,1,4,3,3,3,2,3,3,3,0,2,4,3,2,4,3,1,2,2,4,2,2,3,2,3,1,3,3,3
caterpillar,2,2,3,2,2,2,3,3,3,2,2,3,1,2,1,2,4,3,3,3,2,3,4,3,2,3,3,1,3,4,4,2,2,3,2,2,3,4,3,4,2,2,3,1,3,3,1
caterpillar,3,2,3,1,2,2,2,3,1,2,2,3,0,2,1,2,4,3,1,3,2,3,2,4,2,4,3,0,3,3,4,3,1,3,2,1,1,3,3,4,1,2,2,1,3,3,1
caterpillar,0,4,4,4,1,2,4,4,2,2,0,4,0,4,0,2,4,2,4,4,4,4,4,4,4,4,2,0,4,4,4,4,0,4,0,4,4,4,4,4,0,1,4,0,4,0,4
caterpillar,2,1,1,2,2,2,2,3,2,1,0,1,0,3,0,0,4,1,2,1,3,2,2,2,4,2,1,0,2,4,3,3,2,4,0,3,1,2,3,3,3,4,4,0,2,1,2
caterpillar,1,1,1,1,1,2,1,1,3,2,1,3,1,2,1,1,1,2,1,1,1,3,1,2,1,1,3,1,3,3,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1
caterpillar,2,2,4,4,3,0,4,4,3,1,2,3,0,3,1,4,4,3,3,3,3,4,3,4,3,4,3,0,4,4,4,4,1,3,1,3,3,3,2,4,2,3,4,1,4,3,3
caterpillar,0,0,4,0,1,4,0,3,2,2,0,3,0,0,0,2,4,3,2,4,4,3,4,4,4,4,3,0,4,3,4,4,3,4,4,0,2,4,4,4,0,4,0,2,3,2,0
caterpillar,3,3,4,3,3,4,3,3,3,2,4,4,1,3,3,3,4,3,3,4,3,4,4,3,3,4,2,0,3,3,4,3,1,3,0,3,3,4,4,4,3,3,3,0,0,3,1
caterpillar,0,1,2,0,2,3,0,1,1,2,0,3,0,1,0,0,2,1,3,1,2,3,3,1,2,3,3,0,2,2,3,1,0,1,0,0,2,3,3,3,0,2,2,0,0,1,0
caterpillar,1,0,3,1,1,2,2,3,1,2,0,3,0,1,0,0,4,3,1,2,2,2,3,3,1,2,3,0,4,4,4,2,0,3,1,1,2,2,1,4,0,2,2,0,4,1,1
chipotle-mexican,2,4,1,3,3,1,3,3,3,2,4,4,2,3,1,3,3,4,3,3,3,3,3,3,3,2,4,1,3,3,3,3,2,3,0,3,3,3,1,3,3,4,3,0,3,3,4
chipotle-mexican,1,0,3,2,4,1,4,2,3,2,2,3,0,3,1,0,2,3,2,1,2,3,4,0,4,0,3,1,1,2,0,2,1,4,0,3,3,3,2,0,3,4,4,0,0,3,2
chipotle-mexican,3,3,3,3,3,1,1,2,3,1,3,3,2,3,1,2,3,2,1,2,1,2,3,2,2,0,3,1,3,2,2,2,1,3,0,1,2,3,0,0,4,1,3,1,3,3,3
chipotle-mexican,0,1,2,3,1,2,0,0,1,2,1,1,0,2,0,2,0,1,1,2,0,2,2,0,2,0,1,1,4,2,0,1,0,0,0,0,0,2,0,0,1,1,2,2,2,2,2
chipotle-mexican,0,2,2,3,3,0,3,3,2,2,1,3,1,2,0,2,2,2,4,3,2,2,3,2,3,1,3,1,3,2,2,2,2,3,2,2,2,2,0,2,2,3,3,0,3,3,3
chipotle-mexican,0,0,3,3,1,4,0,0,0,2,3,1,0,0,0,2,2,2,1,0,3,1,4,0,2,0,2,1,3,1,0,4,0,3,2,0,1,3,0,0,1,2,2,1,2,3,1
chipotle-mexican,0,1,1,3,3,2,0,1,1,1,0,1,0,2,0,2,1,2,1,2,0,2,1,0,3,0,0,0,2,1,0,3,0,1,0,0,0,3,0,0,3,2,2,0,4,2,3
chipotle-mexican,2,2,3,3,4,2,3,3,3,2,2,4,2,3,2,3,3,3,3,2,3,3,3,2,3,2,4,1,3,3,2,1,1,2,1,1,3,3,1,2,4,3,4,2,3,2,2
chipotle-mexican,2,3,3,2,3,2,2,3,2,2,3,4,2,3,1,3,3,3,3,3,2,3,3,3,3,1,4,1,3,4,3,3,1,3,0,3,3,4,2,1,3,3,4,1,3,2,3
chipotle-mexican,3,3,4,1,0,3,4,0,2,2,1,0,1,3,3,4,0,0,3,4,2,3,2,3,3,2,2,1,1,0,3,1,1,0,2,1,3,4,1,2,4,3,3,1,3,0,3
chipotle-mexican,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
chipotle-mexican,3,3,4,4,4,3,4,3,4,2,3,4,2,3,2,4,4,4,4,3,4,4,4,3,4,2,4,1,4,4,2,4,2,4,2,4,4,4,3,2,4,4,4,3,3,4,3
chipotle-mexican,2,3,3,0,2,2,3,2,3,2,3,3,0,3,0,2,4,3,3,4,3,3,3,2,3,0,3,1,4,2,0,2,2,3,1,3,3,3,0,2,4,3,3,0,1,3,1
chipotle-mexican,1,1,2,2,2,2,1,1,1,2,1,3,1,2,0,1,2,3,1,2,2,2,2,1,1,0,3,1,3,3,0,2,0,2,1,0,2,2,0,0,3,2,2,1,0,3,1
chipotle-mexican,3,3,3,3,3,2,4,3,3,2,4,4,0,3,2,3,3,3,4,4,3,4,4,0,4,0,4,1,4,3,0,3,1,3,0,3,3,3,1,3,4,4,3,0,0,4,3
chipotle-mexican,3,3,2,4,3,2,2,4,2,2,2,2,0,3,1,3,3,3,3,2,2,2,4,0,2,0,3,1,4,3,0,2,1,3,1,3,3,3,0,0,3,2,3,2,1,3,4
chipotle-mexican,2,4,4,4,3,3,4,2,4,2,4,2,0,3,4,4,2,2,4,3,2,4,2,0,3,1,1,0,3,2,0,3,3,2,2,3,4,4,2,3,4,3,4,3,2,2,4
chipotle-mexican,0,0,1,2,0,1,0,0,1,1,1,2,0,2,0,0,1,2,1,1,0,0,2,0,1,0,3,0,2,1,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,2,1
chipotle-mexican,3,3,2,3,3,0,2,3,3,2,3,3,1,3,1,3,3,3,3,3,2,3,3,0,3,2,4,1,3,3,2,3,1,3,1,2,3,3,2,2,4,3,3,1,3,3,3
chipotle-mexican,1,0,1,4,3,1,1,2,1,2,1,2,0,2,0,2,0,0,2,1,1,1,2,1,2,0,3,1,1,1,0,0,1,1,0,1,1,3,0,0,4,1,2,0,1,1,3
cisco,0,0,3,0,0,4,0,0,1,2,0,2,0,0,0,0,2,2,1,0,2,2,2,2,0,0,1,0,0,2,0,3,0,0,0,0,1,3,4,0,0,0,0,3,1,0,0
cisco,0,0,1,1,0,1,2,1,0,2,0,2,0,1,0,2,2,2,0,1,4,2,3,2,1,0,2,0,3,3,1,4,1,3,0,1,0,1,4,0,1,3,3,2,0,3,1
cisco,0,0,4,4,3,4,2,4,3,1,1,3,0,2,3,0,4,4,4,3,4,4,1,2,3,0,1,0,4,4,4,4,0,4,0,2,3,4,4,4,2,3,4,3,0,3,0
cisco,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,2,2,0,0,0,3,0,2,0,0,2,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0
cisco,2,4,4,3,3,4,2,3,3,1,3,3,2,3,3,3,4,3,2,3,4,4,3,1,4,2,3,0,4,3,2,2,3,4,0,3,3,4,2,2,4,4,4,3,2,3,2
cisco,0,0,4,2,0,4,0,0,0,2,0,4,0,4,0,0,3,2,3,0,4,4,3,0,2,0,4,1,0,4,0,4,0,0,0,0,0,4,4,0,0,0,4,2,2,0,2
cisco,3,4,4,0,3,1,4,2,3,1,4,3,0,4,2,2,4,3,4,4,4,4,3,2,4,4,3,0,4,4,0,3,2,3,0,4,4,4,3,2,3,3,3,0,0,2,3
cisco,0,0,1,1,0,1,0,1,1,1,1,3,0,1,0,0,2,1,2,0,3,0,3,0,1,0,1,0,1,2,0,1,0,1,0,0,1,4,3,0,1,2,1,0,1,0,2
cisco,1,1,4,3,0,4,3,2,1,2,0,3,0,2,0,2,4,3,3,3,4,4,2,4,2,0,1,0,3,4,2,4,0,4,0,4,3,4,4,1,2,3,4,2,3,1,2
cisco,2,3,4,3,0,2,3,1,3,1,0,3,0,3,0,0,3,3,3,1,3,3,3,0,3,0,2,0,1,3,0,3,0,2,0,0,3,4,2,3,3,3,3,0,0,1,1
cisco,0,1,3,2,3,3,2,1,2,2,0,3,0,1,1,0,2,2,3,2,3,3,1,2,2,0,3,0,2,3,1,4,0,1,0,1,1,2,4,1,1,3,2,2,0,1,1
cisco,3,1,2,3,0,3,0,1,0,1,1,2,3,2,1,4,2,2,1,3,1,1,1,0,2,0,2,0,2,1,0,1,0,1,1,3,1,2,2,1,2,1,2,2,0,2,3
cisco,2,1,3,0,3,1,1,0,3,1,3,3,0,0,4,0,2,3,1,3,1,0,2,1,3,0,1,0,1,0,0,1,0,1,3,0,1,3,4,2,2,4,3,3,0,1,0
cisco,2,2,3,4,2,3,2,2,2,2,2,4,2,3,2,2,4,3,3,4,4,3,3,1,3,1,3,1,3,4,1,4,2,3,1,2,2,4,4,2,2,2,4,2,3,2,2
cisco,0,0,4,4,4,4,4,0,4,2,2,4,0,0,1,4,4,4,4,4,4,4,4,0,4,0,4,1,4,4,0,4,0,4,0,0,4,4,4,0,0,4,4,4,4,2,0
cisco,0,0,2,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
cisco,2,3,2,3,3,4,3,1,3,2,2,2,2,3,2,2,3,2,3,3,4,3,3,1,3,2,3,1,3,3,1,3,2,3,1,2,3,4,3,2,2,2,3,3,0,2,2
cisco,1,3,4,3,3,4,4,2,2,2,4,4,0,3,1,1,4,3,4,4,4,4,4,1,4,0,4,1,4,3,1,4,1,3,0,3,3,4,4,2,3,4,4,0,0,2,1
cisco,2,3,3,2,2,3,2,2,3,1,3,3,2,3,2,3,2,3,3,2,3,3,3,2,3,4,3,0,3,3,3,3,2,3,1,2,2,3,3,2,3,2,4,2,3,3,3
cisco,2,1,4,4,2,4,2,0,2,2,0,3,2,1,2,2,3,3,1,3,4,3,3,2,1,0,2,0,3,3,0,4,1,2,0,2,2,4,4,3,1,1,4,2,0,1,1
comcast-corporation,0,0,3,1,1,4,2,0,0,1,0,0,1,0,0,2,2,1,0,2,1,3,2,2,2,0,0,1,2,0,0,0,0,0,2,1,0,4,4,0,0,1,1,3,0,1,0
comcast-corporation,0,0,4,4,2,4,1,1,2,2,2,2,0,2,0,3,3,2,2,0,4,2,3,1,2,0,3,1,4,4,0,4,2,3,0,1,2,4,4,0,0,1,4,2,4,2,0
comcast-corporation,0,0,2,1,1,3,0,0,2,1,1,1,0,2,0,2,1,1,1,2,2,2,2,0,0,0,1,0,1,0,0,2,0,1,0,0,1,2,3,0,1,1,2,0,0,0,0
comcast-corporation,4,1,4,3,4,4,4,2,4,2,4,4,0,4,2,1,4,4,4,2,4,4,4,1,4,0,4,1,4,4,0,4,4,4,0,4,4,4,4,0,4,4,4,0,4,4,4
comcast-corporation,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comcast-corporation,1,2,4,4,1,4,2,2,2,2,0,2,0,2,0,2,2,2,2,4,4,2,3,0,1,0,1,0,2,2,0,4,0,2,0,2,2,4,4,0,0,2,4,0,4,1,2
comcast-corporation,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
comcast-corporation,1,2,2,2,2,4,1,2,2,2,3,1,2,2,2,2,2,2,2,1,2,2,3,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,3,1,2,2,2,2,1,1,1
comcast-corporation,0,0,4,1,1,4,1,0,2,2,0,1,1,0,2,0,0,2,1,0,1,2,2,1,1,0,4,1,0,1,0,1,0,0,0,1,1,3,3,3,0,0,2,2,0,0,0
comcast-corporation,0,0,1,1,0,0,1,2,2,2,1,0,1,0,2,0,1,0,0,0,2,3,1,1,2,0,1,0,1,2,0,2,0,1,0,0,2,1,4,0,0,1,2,1,2,0,1
comcast-corporation,0,1,3,1,0,4,0,1,2,2,3,2,0,2,0,0,2,3,1,2,2,3,4,1,1,0,4,1,2,3,0,3,0,3,0,0,0,3,4,0,0,1,2,0,0,0,0
comcast-corporation,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comcast-corporation,1,1,4,1,3,3,2,0,1,1,1,1,1,1,2,1,1,2,2,1,3,3,2,2,2,1,1,0,2,2,1,1,0,1,2,2,2,4,3,1,3,1,1,3,0,2,1
comcast-corporation,3,0,4,4,4,4,1,0,4,2,1,1,4,1,4,4,0,0,4,4,3,4,4,0,3,0,3,1,4,0,0,3,1,0,0,2,4,4,1,1,4,3,4,4,0,0,4
comcast-corporation,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
comcast-corporation,0,0,4,3,1,4,0,2,1,2,0,1,0,1,0,1,2,2,0,0,1,2,3,1,0,0,4,1,4,1,1,2,0,2,0,2,0,3,4,2,0,0,3,0,4,0,0
