"","down.to.earth","honest","wholesome","cheerful","daring","spirited","imaginative","up.to.date","reliable","intelligent","successful","upper.class","charming","outdoorsy","tough"
"hersheys",2.66666666666667,2.66666666666667,2.5,1.66666666666667,0,0,0.5,0.666666666666667,1.66666666666667,0.333333333333333,2,0,1.33333333333333,0,0
"hertz",1.66666666666667,3,1,2,1.66666666666667,2.33333333333333,1.5,2,3.66666666666667,2.66666666666667,4,1.33333333333333,1.66666666666667,2.33333333333333,1.5
"hess",0.666666666666667,2,1,1.33333333333333,0,0,1,0.666666666666667,2.66666666666667,3.33333333333333,3,0,0.333333333333333,2.33333333333333,4
"hilton",0,0,0,0,0.666666666666667,0.666666666666667,0,0.333333333333333,1,0.666666666666667,2,2.66666666666667,0,0,0
"hm",2.66666666666667,4,4,2.66666666666667,4,3.33333333333333,4,3.33333333333333,3.33333333333333,2,3.33333333333333,2.33333333333333,3,0.666666666666667,0
"hollyfrontier-corporation",1.33333333333333,2.33333333333333,1.5,2.33333333333333,1.66666666666667,2,2,2.33333333333333,2.33333333333333,1.66666666666667,2.33333333333333,1.33333333333333,1.66666666666667,0.666666666666667,0.5
"honda",1,1,1.5,0.333333333333333,0.666666666666667,1,0.5,1.33333333333333,1.66666666666667,1,3,1.66666666666667,1.33333333333333,0.666666666666667,0
"hormel",2.66666666666667,4,4,0,0,1.33333333333333,2,1.33333333333333,4,4,4,1.33333333333333,0,0,0
"host-hotels-and-resorts",1.33333333333333,3,2,2,1.66666666666667,1.33333333333333,1.5,2,3.33333333333333,2,3,3,1.66666666666667,1,1
"hp",0.666666666666667,1.33333333333333,2.5,1.33333333333333,2.66666666666667,2.33333333333333,3,3.33333333333333,3.66666666666667,3.66666666666667,4,1.33333333333333,0.666666666666667,0,1
"hp-enterprise",0.666666666666667,2.33333333333333,1.5,1.66666666666667,2.33333333333333,2,3.5,2.33333333333333,3.33333333333333,4,3.33333333333333,1,1.33333333333333,0.666666666666667,1
"hrg-group",2,3,3,2.66666666666667,2.66666666666667,1.66666666666667,2.5,3,3,3,3,2.33333333333333,2,0.333333333333333,0.5
"hsbc",0,0.666666666666667,0,0,0,0,0,0.333333333333333,1,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0
"humana-inc",1.33333333333333,3,2.5,1.66666666666667,1.66666666666667,2,1.5,2.33333333333333,2.66666666666667,2,2.33333333333333,0.333333333333333,1,0.666666666666667,0
"huntington-ingalls-industries",0.666666666666667,3.66666666666667,2,1.33333333333333,3.66666666666667,2,3,3.66666666666667,3.66666666666667,3.66666666666667,4,2.66666666666667,1.66666666666667,2,3.5
"huntsman-corporation",2,2.66666666666667,2.5,3,2,2.33333333333333,2.5,2.33333333333333,2.33333333333333,3,2.66666666666667,2.33333333333333,3,2.66666666666667,3
"hyatt",1,3.33333333333333,1,1.33333333333333,1.66666666666667,1,1,2,3,2.66666666666667,3,0,0.333333333333333,0,0
"hyatt-regency",2.66666666666667,4,2,2.66666666666667,0,2.66666666666667,4,4,4,4,4,1.33333333333333,0,0,0
"hyundai",0.333333333333333,0.666666666666667,1,1,1.66666666666667,1.33333333333333,3,0.666666666666667,2.66666666666667,2.66666666666667,3,1.66666666666667,0.333333333333333,0,0
"ibm",1.33333333333333,2,2.5,2.33333333333333,2,2.33333333333333,2.5,3.33333333333333,2.33333333333333,2.66666666666667,2,2.33333333333333,2,1,2.5
"icahn-enterprises-lp",0,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0,1,0,2.66666666666667,0.666666666666667,0,0,0.666666666666667,0
"iheartmedia",2,2.66666666666667,3,3,2.66666666666667,3.33333333333333,3,3,2.66666666666667,2.66666666666667,3.66666666666667,2,2.33333333333333,1,1
"ikea",0.666666666666667,1.66666666666667,2,0.666666666666667,2,1.66666666666667,2.5,2,2,1.33333333333333,2,0.666666666666667,1.33333333333333,0,0
"illinois-tool-works",1,3.66666666666667,3.5,1.33333333333333,3.33333333333333,1.33333333333333,3,3.33333333333333,3.66666666666667,4,3.66666666666667,1,2.66666666666667,1.66666666666667,3.5
"infosys",0.666666666666667,3,0,0.666666666666667,0,0.666666666666667,0,3.66666666666667,3.66666666666667,4,2,0.666666666666667,1,2,1
"ingersoll-rand",0,2,0,0,0,0,0,2.66666666666667,3,4,3,1,0.333333333333333,1.66666666666667,1
"ingram-micro",1.66666666666667,2.66666666666667,1,2,3,2,3,3,2.66666666666667,3.33333333333333,3,2.33333333333333,2,0,0
"ingredion-incorporated",0.333333333333333,1.66666666666667,2,0,1.33333333333333,0,0.5,1.33333333333333,2,1,1.33333333333333,0,0,1,0
"insight-enterprises",0,4,4,0,0,1.33333333333333,2,4,4,2.66666666666667,4,2.66666666666667,1.33333333333333,0,0
"intel",0.333333333333333,3.33333333333333,1.5,0.333333333333333,2.33333333333333,2.66666666666667,2.5,3,3.66666666666667,4,3.33333333333333,2,0.333333333333333,0.666666666666667,0
"international-paper",2,4,2,2,0,1.33333333333333,2,3.66666666666667,4,4,4,0,2.66666666666667,1.33333333333333,4
"intl-fcstone",1.66666666666667,3,2,1.33333333333333,2,1.66666666666667,2,2.66666666666667,3,3,3.33333333333333,2.66666666666667,2.33333333333333,1.66666666666667,1
"invesco",0.666666666666667,3,1.5,0.333333333333333,0.333333333333333,1,2,1,2,2.66666666666667,2.33333333333333,1,1,2.33333333333333,2.5
"iron-mountain-inc",0,2.33333333333333,3.5,0,1.33333333333333,3,3.5,2.66666666666667,4,4,4,2.66666666666667,2,1.33333333333333,4
"jabil",0.333333333333333,1.66666666666667,1.5,0.666666666666667,2.33333333333333,2.33333333333333,2,3,2.33333333333333,2.33333333333333,3.33333333333333,1,1,1,1
"jack-daniels",1.66666666666667,3,2.5,1.66666666666667,2,2.33333333333333,2,3,3,1.33333333333333,4,2.33333333333333,1.66666666666667,2.33333333333333,3
"jack-in-the-box",2,3,3,2.66666666666667,3,2.66666666666667,2.5,2.33333333333333,2.33333333333333,2.66666666666667,3.33333333333333,1.33333333333333,2,3,1.5
"jacobs-engineering",1.33333333333333,4,1,1.33333333333333,0.333333333333333,0.666666666666667,1,2.33333333333333,4,2,4,0,1.66666666666667,0.666666666666667,0.5
"jarden-corporation",2,3,2,2.66666666666667,1.66666666666667,1.33333333333333,2,2,2.66666666666667,2.33333333333333,3.66666666666667,1.33333333333333,2.33333333333333,3,3.5
"jb-hunt-transport-services",1,3,1,1.33333333333333,1,1,2,1.66666666666667,2.33333333333333,3,2.33333333333333,1.33333333333333,1.33333333333333,2.66666666666667,2.5
"jc-penney",3.33333333333333,3.66666666666667,3.5,3.33333333333333,2.33333333333333,2.66666666666667,2.5,3.66666666666667,3.66666666666667,4,4,2.33333333333333,2.66666666666667,1.66666666666667,1.5
"jetblue-airways-corporation",3,4,4,4,4,2,2.5,4,4,4,4,4,3.33333333333333,3,4
"jm-smucker",2.66666666666667,2.33333333333333,2.5,2.66666666666667,2,2.33333333333333,2.5,2.66666666666667,2.33333333333333,1.66666666666667,2,2.33333333333333,2,2.33333333333333,2
"john-hancock",2.33333333333333,3.66666666666667,3,2.33333333333333,1.66666666666667,2.33333333333333,2,2.33333333333333,3,2,3.33333333333333,2,2,2.66666666666667,1.5
"johnnie-walker",1.33333333333333,4,2,0,0,2.66666666666667,2,2.66666666666667,4,4,4,1.33333333333333,2.66666666666667,2.66666666666667,4
"johnson-controls",1.33333333333333,3.33333333333333,2.5,2.66666666666667,3,2.66666666666667,3,3.33333333333333,2.33333333333333,2,3,2.33333333333333,1.66666666666667,1.66666666666667,2
