"","sincerity","excitement","competence","sophistication","ruggedness"
"apple",2.54545454545455,2.63636363636364,2.77777777777778,2.33333333333333,1.8
"applied-materials",1.72727272727273,3.45454545454545,3.44444444444444,2.16666666666667,0.6
"aramark",1.63636363636364,1.63636363636364,2.88888888888889,0.666666666666667,1.2
"archerdanielsmidland-company",1.09090909090909,1.63636363636364,3.55555555555556,1.66666666666667,2.8
"arrow-electronics",0.636363636363636,1.27272727272727,3,0.333333333333333,0.8
"arthur-j-gallagher--co",3,3.45454545454545,3.11111111111111,2.5,2.4
"asbury-automotive-group",2.63636363636364,2.36363636363636,2.55555555555556,2.16666666666667,1.8
"ashland",0.818181818181818,1.18181818181818,2.11111111111111,0.833333333333333,1.4
"assurant",2.18181818181818,1.45454545454545,3,1.33333333333333,0
"att",1.36363636363636,0.636363636363636,1.11111111111111,1,0.6
"audi",2.81818181818182,2.90909090909091,2.66666666666667,3,3.2
"autoliv",3.09090909090909,2.81818181818182,3.44444444444444,2.16666666666667,0.4
"autonation",2.27272727272727,2,2.88888888888889,2.66666666666667,2.4
"autoowners-insurance-group",2.54545454545455,1.54545454545455,2.66666666666667,0.833333333333333,1.6
"autozone",0.909090909090909,0.818181818181818,1.88888888888889,0.166666666666667,2
"avery-dennison-corporation",1.45454545454545,0.363636363636364,3.33333333333333,0,3.4
"avis-budget-group",1.81818181818182,1.27272727272727,2.33333333333333,1,1.2
"avnet",1.09090909090909,0.818181818181818,2.22222222222222,0.333333333333333,0.6
"avon",2.09090909090909,2.09090909090909,2.11111111111111,2,0.8
"bacardi",0.727272727272727,0.909090909090909,0.222222222222222,0.833333333333333,0
"baker-hughes",3.27272727272727,3,3.55555555555556,3.33333333333333,3.2
"ball-corp",3.09090909090909,3.45454545454545,2.88888888888889,2.33333333333333,0.8
"bank-of-america",0.727272727272727,0.636363636363636,2.22222222222222,0.5,0.6
"barnes-noble",1.81818181818182,1.18181818181818,1.88888888888889,0.333333333333333,0.4
"baxalta-incorporated",2.72727272727273,3.18181818181818,3.11111111111111,1.16666666666667,1.4
"baxter-international",0.0909090909090909,0.181818181818182,1.33333333333333,0,0
"bbt",1.90909090909091,1.45454545454545,2.66666666666667,1.5,1
"bcg",1,1.72727272727273,3,1.33333333333333,0.8
"becton-dickinson-and-company",1.81818181818182,3,3.66666666666667,3.5,0.6
"bed-bath-and-beyond",3.45454545454545,3.09090909090909,3.44444444444444,3,1.2
"best-buy",2.36363636363636,2.81818181818182,3.22222222222222,1.83333333333333,1.4
"big-lots",3,2.18181818181818,1.33333333333333,1.33333333333333,0.8
"biogen-idec-inc",2.09090909090909,3.63636363636364,3.22222222222222,1.5,0.4
